[2019/04/29 18:56:41][CONFIG][initLogger]  Logging initialized.
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:56:47][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  received Login request
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  received Login request
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:56:48][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  received Login request
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:59:56][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  received Login request
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  received Login request
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  User was found
[2019/04/29 18:59:57][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:11:19][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  received Login request
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  {"email":"Hfiakod@test.com","plevel":5}
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  request model is valid
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'Hfiakod@test.com'
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  Query executed successfully
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User was found
[2019/04/29 19:14:36][INFO][VerifyPrivilege]  User has sufficient privilege
[2019/04/30 00:15:56][INFO][VerifyPrivilege]  received Login request
[2019/04/30 00:15:56][INFO][VerifyPrivilege]  {"email":"o33olcj@test.com","plevel":5}
[2019/04/30 00:15:56][INFO][VerifyPrivilege]  request model is valid
[2019/04/30 00:15:56][INFO][VerifyPrivilege]  Executing query com.mysql.cj.jdbc.ClientPreparedStatement: SELECT plevel FROM users WHERE email = 'o33olcj@test.com'
[2019/04/30 00:15:57][WARNING][VerifyPrivilege]  Unable to verify privilege level for o33olcj@test.com
